edad,edad_quinquenal,ano,sexo,tipo_beneficio,estado,caja,suma_aportes,suma_salarios,cantidad,sml
30,30 a 34,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,5201178.0,3,2192839
31,30 a 34,2020,Hombres,Invalidez,Pasivos,IPS,0.0,27161759.0,23,2192839
31,30 a 34,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3583690.0,4,2192839
31,30 a 34,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,996689.0,1,2192839
31,30 a 34,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,300772.0,2,2192839
32,30 a 34,2020,Hombres,Invalidez,Pasivos,IPS,0.0,18323783.0,19,2192839
32,30 a 34,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,4191115.0,1,2192839
32,30 a 34,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,1626685.0,3,2192839
32,30 a 34,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,8021501.0,3,2192839
33,30 a 34,2020,Hombres,Invalidez,Pasivos,IPS,0.0,18094519.0,17,2192839
33,30 a 34,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,4712358.0,3,2192839
33,30 a 34,2020,Hombres,Otros,Pasivos,IPS,0.0,17187660.0,1,2192839
33,30 a 34,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,2258369.0,3,2192839
33,30 a 34,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,4899004.0,4,2192839
33,30 a 34,2020,Mujeres,Otros,Pasivos,IPS,0.0,4500000.0,1,2192839
34,30 a 34,2020,Hombres,Invalidez,Pasivos,IPS,0.0,17651391.0,14,2192839
34,30 a 34,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,2630566.0,4,2192839
34,30 a 34,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,2631723.0,2,2192839
34,30 a 34,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,5139340.0,3,2192839
34,30 a 34,2020,Mujeres,Otros,Pasivos,IPS,0.0,12715452.0,1,2192839
35,35 a 39,2020,Hombres,Invalidez,Pasivos,IPS,0.0,19752676.0,19,2192839
35,35 a 39,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,5353677.0,4,2192839
35,35 a 39,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,6206152.0,4,2192839
35,35 a 39,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3185103.0,2,2192839
36,35 a 39,2020,Hombres,Invalidez,Pasivos,IPS,0.0,14567143.0,13,2192839
36,35 a 39,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1884997.0,1,2192839
36,35 a 39,2020,Hombres,Otros,Pasivos,IPS,0.0,5185724.0,1,2192839
36,35 a 39,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,18504689.0,11,2192839
36,35 a 39,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,7896045.0,3,2192839
36,35 a 39,2020,Mujeres,Otros,Pasivos,IPS,0.0,22678268.0,2,2192839
37,35 a 39,2020,Hombres,Invalidez,Pasivos,IPS,0.0,28292989.0,27,2192839
37,35 a 39,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,4493088.0,3,2192839
37,35 a 39,2020,Hombres,Otros,Pasivos,IPS,0.0,8732125.0,2,2192839
37,35 a 39,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,8045657.0,4,2192839
37,35 a 39,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3793690.0,4,2192839
38,35 a 39,2020,Hombres,Invalidez,Pasivos,IPS,0.0,28132350.0,25,2192839
38,35 a 39,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3218778.0,3,2192839
38,35 a 39,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,3848672.0,2,2192839
